Entidad Crediticia;Mes de Registro;Tipo de Tarjeta;Membres¡a Anual Tarjeta principal;Membres¡a Anual Tarjeta Adicional;Cargo por Perdida o Robada (B/.);Cargo por Deterioro (B/.);Tasa de inter‚s                                                                                                                                                                                                                                                                                                   Nominal Anual (%);L¡mite de Cr‚dito Inferior (B/.);L¡mite de Cr‚dito Superior;Costo de Seguro Contra Fraude (B/.) ;Desgravamen;Fecha de Corte;Fecha de Pago;Pago                                                                                                                                                                                                                                                                                                                                            M¡nimo Mensual (B/.);Pagos                                                                                                                                                                                                                                                                                Atrasados (B/.);Sobregiro (B/.);Adelanto de Dinero en Efectivo (B/.)
BANCO ALIADO, S.A.;45323;Visa Gold;70;20;20;Gratis;0.22;400;4999;3.85;  $.2.50 por  millar mas 5% de impuesto ;5 de cada mes;30 de cada mes;0.03;40;30;10% min $10.00
BANCO ALIADO, S.A.;45323;Visa Platinum;90;25;20;Gratis;0.2;5000;9999;4.5;;5 de cada mes;30 de cada mes;0.03;45;40;10% min $10.00
BANCO ALIADO, S.A.;45323;Visa Infinite;120;30;20;Gratis;0.18;10000;100000;7;;5 de cada mes;30 de cada mes;0.03;50;50;10% min $10.00
BANCO ALIADO, S.A.;45323;Visa Corporate   ;100;100;20;Gratis;0.22;1000;En Adelante;7;N/A;30 de cada mes;25 de cada mes;0.03;50;50;10% min $10.00
BANCO ALIADO, S.A.;45323;Visa Prepago ;25;25;20;Gratis;N/A;N/A;N/A;3.5;N/A;25 de cada mes;N/A;N/A;N/A;N/A;5
BAC INTERNATIONAL BANK, INC.;45323;Visa/MasterCard/BAC Credomatic;40;20;50;20;0.2796;400;1900;3.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;15;15;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45323;SmartCash Cl sica American Express;$7 por mes o sin cargo mensual si realiza 5 transacciones de compras al mes. ;Gratis;50;20;0.2508;400;1900;3.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;40;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45323;SmartCash Cl sica American Express;$60.00;20;50;20;0.2508;400;1900;3.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;40;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45323;MasterCard Cl sica;$ 7.00 mensuales;$ 2.00 mensuales;50;20;0.2508;400;1900;3.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;40;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45323;Visa Cl sica;$7 por mes o sin cargo mensual si realiza 7 transacciones de compras al mes. ;Gratis;50;20;0.2508;400;1900;3.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;40;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45323;Panafoto de American Express Punch;$7 por mes o sin cargo mensual si realiza 5 transacciones de compras al mes. ;Gratis;50;20;0.2508;400;En adelante;3.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;40;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45323;MasterCard Panafoto Punch;$7 por mes o sin cargo mensual si realiza 7 transacciones de compras al mes. ;Gratis;50;20;0.2508;400;En adelante;3.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;40;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45323;Panafoto American Express ;$60.00;20;50;20;0.2508;400;En adelante;3.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;40;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45323;MasterCard Panafoto;$60.00;20;50;20;0.2508;400;En adelante;3.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;40;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45323;Visa / Mastercard SmartCash Cl sica Punch;$7 por mes o sin cargo mensual si realiza 7 transacciones de compras al mes. ;Gratis ;50;20;0.2508;400;1900;3.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;40;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45323;Visa SmartCash ;$75.00;20;50;20;0.2508;400;1900;3.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;40;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45323; PriceSmart Visa Platinum (baja);Gratis;Gratis;50;20;0.2508;400;1900;4.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45323; PriceSmart Visa Platinum (alta);Gratis;Gratis;50;20;0.2352;2000;En adelante;4.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45323;"American Express  DESTINY Dorado
";$ 95.00;Gratis 1er a¤o;50;20;0.2388;2000;5900;4.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45323;"American Express/Visa Dorada ConnectMiles
";95;Gratis 1er a¤o;50;20;0.2388;2000;5900;4.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45323;American Express Blue Centurion;10 trans ¢ B/.10.00;Gratis 1er a¤o;50;20;1.2388;2000;5900;4.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;31 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;51;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45323;MasterCard/ American Express LifeMiles Dorada;$ 95.00;Gratis 1er a¤o;50;20;0.2388;2000;5900;4.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45323;Credomatic/AAdvantage MasterCard/American Express Gold;$ 95.00;Gratis 1er a¤o;50;20;0.2388;2000;5900;4.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45323;MasterCard SmartCash Dorada;$8 por mes o sin cargo mensual si realiza 7 transacciones de compras al mes. ;Gratis;50;20;0.2453;2000;5900;4.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45323;Gold American Express;95;Gratis ;50;20;0.2148;6000;9900;5;B/.2.25 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.225% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45323;Visa / Mastercard SmartCash Platinum;$10 por mes o sin cargo mensual si realiza 10 transacciones de compras al mes. ;Gratis ;50;20;0.2352;6000;9900;5;B/.2.25 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.225% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45323;Visa/American Express Platinum ConnectMiles de BAC Credomatic;95;Gratis ;50;20;0.2148;6000;9900;5;B/.2.25 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.225% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45323; MasterCard Unlimited Platino;95;Gratis ;50;20;0.2148;6000;9900;5;B/.2.25 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.225% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45323;MasterCard/ American Express LifeMiles Platino ;$ 150.00;Gratis ;50;20;0.2148;6000;9900;5;B/.2.25 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.225% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45323;Credomatic/AAdvantage MasterCard/American Express Platino;175;Gratis;50;20;0.2148;6000;9900;5;B/.2.25 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.225% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45323; MasterCard Unlimited Black;150;Gratis;50;20;0.1692;10000;En adelante;5;B/.2.25 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.225% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45323;Visa Infinite/American Express ConnectMiles de BAC Credomatic;$150.00;Gratis;50;20;0.1692;10000;En adelante;5;B/.2.25 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.225% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45323;The Platinum Card American Express;300;Gratis;50;20;0.1692;20000;En adelante;5;B/.2.25 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.225% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45323;MasterCard/ American Express LifeMiles Black ;$ 250.00;Gratis;50;20;0.1692;10000;En adelante;5;B/.2.25 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.225% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45323;Credomatic/AAdvantage MasterCard/American Express Black;$ 250.00;Gratis;50;20;0.1692;10000;En adelante;5;B/.2.25 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.225% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45323;Incae MasterCard Black de BAC Credomatic;Gratis;Gratis;50;20;0.1692; $10,000.00;En adelante;5;B/.2.25 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.225% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45323;Visa Business PriceSmart;Gratis;Gratis;50;20;0.2042;1000;En adelante;4.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45323;Visa, Master Card y American Express  BAC Credomatic Business ;$ 95.00;$ 45.00;50;20;0.2042;1000;En adelante;4.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45323;Bac Visa Empresario;$ 60.00;25;50;20;0.2292;1000;En adelante;4.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
BAC INTERNATIONAL BANK, INC.;45323;Visa ConnectMiles Empresarial/American Express ConnectMiles Business;150;150;50;20;0.2042;1000;En adelante;4.5; B/.2.50 hasta B/.1,000.00 de saldo adeudado. Si se excede de los B/.1,000.00 se cobrar  el 0.250% del saldo adeudado.;seg£n ciclo de la cta.;seg£n ciclo de la cta.; $20.00 o el c lculo seg£n lo adeudado por el cliente ;30 d¡as 5%,  60 d¡as 5%,  90 d¡as ¢ mas 5% sobre  el saldo adeudado.;50;$13.00 ¢ 7% lo que sea mayor.
